Alphanso,Mango,Fruits,100,Kg,https://images.hindustantimes.com/img/2021/06/02/1600x900/9a156550-c367-11eb-9d53-2d5cae187b44_1622619423185.jpg,PFRUMANALP01
Shimla Apple,Apple,Fruits,100,Kg,https://t3.ftcdn.net/jpg/01/76/97/96/360_F_176979696_hqfioFYq7pX13dmiu9ENrpsHZy1yM3Dt.jpg,PFRUAPPAHI01
Onion Large size,Onion,Vegetables,50,kg/bag,https://homedelivery.ramachandran.in/image/cache/catalog/Fruit_Veg/491219A001001_Onion-1000x1000.jpg,PVEGONILAR01
Onion medium and Small size,Onion,Vegetables,50,kg,https://homedelivery.ramachandran.in/image/cache/catalog/Fruit_Veg/491219A001001_Onion-1000x1000.jpg,PVEGONIMED01
Potato,Potato,Vegetables,120,kg,https://m.media-amazon.com/images/I/61yXL70-RaL._SX679_.jpg,PVEGPOTPOT01
Garlic,Garlic,Vegetables,50,kg,https://m.media-amazon.com/images/I/61amdwJRu-L._SX522_.jpg,PVEGGARGAR01
Ginger ,Ginger,Vegetables,50,kg,https://www.okonline.co.zw/wp-content/uploads/ginger-200g-1.jpg,PVEGGINGIN01
Coconut,Coconut,Fruits,30,Piece or Kg,"https://www.verywellhealth.com/thmb/C5fuVjIqCe5DyZATjE6qU99vJ4s=/2880x1920/filters:fill(87E3EF,1)/the-coconut-allergy-diet-guide-1324149-primary-recirc-79145d6d86fc4f26afaef10cbbc11da1.jpg",PFRUCOCCOC01
Rice ,Rice,Staple,50,kg/bag,https://post.medicalnewstoday.com/wp-content/uploads/sites/3/2020/02/322775_2200-800x1200.jpg,PSTARICRIC01
